path,sample,sample_num,label
Sample001/img001-00001.png,Sample001,1,0
Sample001/img001-00002.png,Sample001,1,0
Sample001/img001-00003.png,Sample001,1,0
Sample001/img001-00004.png,Sample001,1,0
Sample001/img001-00005.png,Sample001,1,0
Sample001/img001-00006.png,Sample001,1,0
Sample001/img001-00007.png,Sample001,1,0
Sample001/img001-00008.png,Sample001,1,0
Sample001/img001-00009.png,Sample001,1,0
Sample001/img001-00010.png,Sample001,1,0
Sample001/img001-00011.png,Sample001,1,0
Sample001/img001-00012.png,Sample001,1,0
Sample001/img001-00013.png,Sample001,1,0
Sample001/img001-00014.png,Sample001,1,0
Sample001/img001-00015.png,Sample001,1,0
Sample001/img001-00016.png,Sample001,1,0
Sample001/img001-00017.png,Sample001,1,0
Sample001/img001-00018.png,Sample001,1,0
Sample001/img001-00019.png,Sample001,1,0
Sample001/img001-00020.png,Sample001,1,0
Sample001/img001-00021.png,Sample001,1,0
Sample001/img001-00022.png,Sample001,1,0
Sample001/img001-00023.png,Sample001,1,0
Sample001/img001-00024.png,Sample001,1,0
Sample001/img001-00025.png,Sample001,1,0
Sample001/img001-00026.png,Sample001,1,0
Sample001/img001-00027.png,Sample001,1,0
Sample001/img001-00028.png,Sample001,1,0
Sample001/img001-00029.png,Sample001,1,0
Sample001/img001-00030.png,Sample001,1,0
Sample001/img001-00031.png,Sample001,1,0
Sample001/img001-00032.png,Sample001,1,0
Sample001/img001-00033.png,Sample001,1,0
Sample001/img001-00034.png,Sample001,1,0
Sample001/img001-00035.png,Sample001,1,0
Sample001/img001-00036.png,Sample001,1,0
Sample001/img001-00037.png,Sample001,1,0
Sample001/img001-00038.png,Sample001,1,0
Sample001/img001-00039.png,Sample001,1,0
Sample001/img001-00040.png,Sample001,1,0
Sample001/img001-00041.png,Sample001,1,0
Sample001/img001-00042.png,Sample001,1,0
Sample001/img001-00043.png,Sample001,1,0
Sample001/img001-00044.png,Sample001,1,0
Sample001/img001-00045.png,Sample001,1,0
Sample001/img001-00046.png,Sample001,1,0
Sample001/img001-00047.png,Sample001,1,0
Sample001/img001-00048.png,Sample001,1,0
Sample001/img001-00049.png,Sample001,1,0
Sample001/img001-00050.png,Sample001,1,0
Sample001/img001-00051.png,Sample001,1,0
Sample001/img001-00052.png,Sample001,1,0
Sample001/img001-00053.png,Sample001,1,0
Sample001/img001-00054.png,Sample001,1,0
Sample001/img001-00055.png,Sample001,1,0
Sample001/img001-00056.png,Sample001,1,0
Sample001/img001-00057.png,Sample001,1,0
Sample001/img001-00058.png,Sample001,1,0
Sample001/img001-00059.png,Sample001,1,0
Sample001/img001-00060.png,Sample001,1,0
Sample001/img001-00061.png,Sample001,1,0
Sample001/img001-00062.png,Sample001,1,0
Sample001/img001-00063.png,Sample001,1,0
Sample001/img001-00064.png,Sample001,1,0
Sample001/img001-00065.png,Sample001,1,0
Sample001/img001-00066.png,Sample001,1,0
Sample001/img001-00067.png,Sample001,1,0
